STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km;antall_fungerende;YVIK-YtreVikna1-Sum-produksjon (2 hours before);YVIK-YtreVikna1-Sum-produksjon
4.9;150;17;17.83371606;6.080616425
4.7;152;17;8.917732971;8.156999634
4.4;152;17;6.080616425;6.319883148
4.5;152;17;8.156999634;4.96864975
4.6;153;17;6.319883148;6.235683044
4.7;153;17;4.96864975;6.029299743999999
4.1;159;17;6.235683044;5.661483092999999
3.4;165;17;6.029299743999999;3.444299881
2.8;171;17;5.661483092999999;2.901333328
2.4;220;17;3.444299881;2.795
2.0;270;17;2.901333328;2.636
1.6;319;17;2.795;2.636
2.3;10;17;2.636;2.636
3.0;61;17;2.636;2.670999996
3.5;61;17;2.636;3.020699982
4.0;83;17;2.670999996;4.393433228
4.5;104;17;3.020699982;7.677132935
5.0;126;17;4.393433228;8.790199553999999
5.5;127;17;7.677132935;11.5866994
5.9;129;17;8.790199553999999;13.12699927
6.4;130;17;11.5866994;13.71679919
6.3;129;17;13.12699927;11.5871496
6.2;129;17;13.71679919;19.79703223
6.1;128;17;11.5871496;16.75553259
6.1;129;17;19.79703223;18.8904657
6.0;131;17;16.75553259;14.64284967
6.0;133;17;18.8904657;19.20244922
6.2;136;17;14.64284967;18.08856561
6.3;140;17;19.20244922;18.08151563
6.5;143;17;18.08856561;26.68971558
6.3;145;17;18.08151563;26.03791504
6.1;148;17;26.68971558;15.95663232
5.9;150;17;26.03791504;11.81278271
6.2;145;17;15.95663232;8.278599731
6.5;141;17;11.81278271;9.198716064
6.8;136;17;8.278599731;13.32666614
6.7;136;17;9.198716064;11.72933264
6.6;137;17;13.32666614;12.25343274
6.5;132;17;11.72933264;13.59901611
6.3;132;17;12.25343274;9.130282897999999
6.2;131;17;13.59901611;8.370132935
6.0;131;17;9.130282897999999;9.834132935
6.0;133;17;8.370132935;12.20746613
5.9;136;17;9.834132935;15.861599300000002
5.9;138;17;12.20746613;15.45422314
5.7;140;17;15.861599300000002;19.03414929
5.5;142;17;15.45422314;10.39813287
5.3;144;17;19.03414929;9.976949524
5.1;144;17;10.39813287;11.411316099999999
4.9;145;17;9.976949524;14.12644958
4.8;141;17;11.411316099999999;9.312616333
4.8;141;16;14.12644958;6.218033157000001
4.9;141;16;9.312616333;5.760483123999999
4.9;141;16;6.218033157000001;5.263864227
4.9;137;16;5.760483123999999;
4.8;134;16;5.263864227;
4.8;130;16;;7.510199646
4.8;128;17;;7.429282959
4.7;127;17;7.510199646;7.2166162410000005
4.7;125;17;7.429282959;5.790049652
5.2;125;17;7.2166162410000005;7.8782161870000005
5.6;126;17;5.790049652;11.25293243
6.1;122;17;7.8782161870000005;14.73946594
6.7;126;17;11.25293243;17.4274657
7.3;130;17;14.73946594;19.10859924
7.9;134;17;17.4274657;23.89349927
7.8;134;17;19.10859924;28.97466553
7.6;135;17;23.89349927;31.22999854
7.5;135;17;28.97466553;31.89828198
7.5;139;17;31.22999854;36.29624854
7.4;142;17;31.89828198;35.5803147
7.4;146;17;36.29624854;26.64451587
7.4;148;17;35.5803147;24.89814868
7.4;149;17;26.64451587;19.8500658
7.3;150;17;24.89814868;17.34611707
7.0;150;17;19.8500658;16.7506156
6.6;151;17;17.34611707;19.14274902
6.3;151;17;16.7506156;23.0260824
5.8;151;17;19.14274902;25.882032100000004
5.3;151;17;23.0260824;17.570998899999996
4.8;151;17;25.882032100000004;21.4889491
4.6;142;17;17.570998899999996;15.60631604
4.3;133;17;21.4889491;12.73364957
4.1;124;17;15.60631604;4.950533112
4.5;126;17;12.73364957;5.553749756
4.8;129;17;4.950533112;5.635416382000001
5.5;133;17;5.553749756;7.797299682999999
5.8;135;17;5.635416382000001;12.18469916
6.0;138;17;7.797299682999999;16.95633228
6.3;140;17;12.18469916;17.90993286
6.2;141;17;16.95633228;13.08201624
6.2;141;17;17.90993286;13.8982995
6.1;142;17;13.08201624;17.29826611
6.1;141;17;13.8982995;7.939749634
6.0;140;17;17.29826611;8.603366211
6.0;139;17;7.939749634;6.835083191
5.9;140;17;8.603366211;9.316733032
5.7;141;17;6.835083191;12.78643304
5.7;141;17;9.316733032;14.33984906
5.7;140;16;12.78643304;13.96944934
5.8;138;16;14.33984906;14.80591595
5.8;137;16;13.96944934;14.74610602
5.8;137;16;14.80591595;15.38041602
5.9;137;16;14.74610602;12.93984961
5.9;137;16;15.38041602;15.909232300000001
6.1;135;17;12.93984961;16.34413281
6.2;134;17;15.909232300000001;17.90043219
6.4;132;17;16.34413281;12.50819934
6.1;129;17;17.90043219;15.1164491
5.8;127;17;12.50819934;20.71596533
4.9;114;17;15.1164491;27.20504932
5.3;119;17;20.71596533;15.23281598
5.6;125;17;27.20504932;13.41769934
6.0;130;17;15.23281598;19.63586572
6.4;131;17;13.41769934;18.70524878
6.9;132;17;19.63586572;32.49296582
7.3;133;17;18.70524878;25.45299878
7.4;133;17;32.49296582;19.29828284
7.4;134;17;25.45299878;9.892827271
7.5;134;17;19.29828284;17.805631899999998
7.6;134;17;9.892827271;18.45089917
7.8;135;17;17.805631899999998;26.90376538
8.2;134;17;18.45089917;31.97799829
7.8;133;15;26.90376538;36.26741455
7.4;131;15;31.97799829;37.14918188
7.0;130;15;36.26741455;34.04541479
7.1;133;16;37.14918188;37.08889844
7.3;136;16;34.04541479;34.30568188
7.4;139;16;37.08889844;33.50311548
7.8;141;17;34.30568188;30.62864917
8.3;142;17;33.50311548;36.10009863
8.7;144;17;30.62864917;36.0703479
8.2;145;17;36.10009863;31.69714917
7.8;147;17;36.0703479;36.69203174
7.5;144;17;31.69714917;34.69223193
7.4;146;17;36.69203174;29.05411597
7.2;149;17;34.69223193;36.09584814
7.1;151;17;29.05411597;35.22556470000001
