STORM-YVik1-Vindhast-25km delayed_2;STORM-YVik1-Vindhast-25km delayed_1;STORM-YVik1-Vindhast-25km;STORM-YVik1-Vindretn-25km delayed_2;STORM-YVik1-Vindretn-25km delayed_1;STORM-YVik1-Vindretn-25km;/arome_windvel_6491_1087 delayed_2;/arome_windvel_6491_1087 delayed_1;/arome_windvel_6491_1087;/arome_airtemp_6491_1087 delayed_2;/arome_airtemp_6491_1087 delayed_1;/arome_airtemp_6491_1087;/arome_windvel_6481_1056 delayed_2;/arome_windvel_6481_1056 delayed_1;/arome_windvel_6481_1056;DNMI_75410...........T0015A3-0120;/arome_windvel_6482_1114 delayed_2;/arome_windvel_6482_1114 delayed_1;/arome_windvel_6482_1114;DNMI_75220...........T0015A3-0120;/arome_windvel_6520_1098 delayed_2;/arome_windvel_6520_1098 delayed_1;/arome_windvel_6520_1098;DNMI_75550...........T0015A3-0120;antall_fungerende;YVIK-YtreVikna1-Sum-produksjon (2 hours before);YVIK-YtreVikna1-Sum-produksjon
3.6;3.4;3.1;149.0;142.0;135;3.518468393;3.6210837330000003;3.681794822;14.4357;15.4418;16.89565;2.407497829;1.569408492;3.7251588680000003;3.62;3.283976993;2.9076926810000003;2.624945216;3.2;3.94210026;2.608146142;2.584877407;3.62;17;6.589616455;3.5132499389999996
3.4;3.1;3.3;142.0;135.0;134;3.6210837330000003;3.681794822;3.491119714;15.4418;16.89565;17.82607;1.569408492;3.7251588680000003;3.969879817;4.32;2.9076926810000003;2.624945216;3.004687763;3.6;2.608146142;2.584877407;3.4861565310000002;4.32;17;5.5550497739999996;2.999066605
3.1;3.3;3.4;135.0;134.0;134;3.681794822;3.491119714;3.409994857;16.89565;17.82607;18.588279999999997;3.7251588680000003;3.969879817;3.484550688;3.97;2.624945216;3.004687763;3.05463423;1.8;2.584877407;3.4861565310000002;3.2869398810000003;3.97;17;3.5132499389999996;4.007749908
3.3;3.4;3.6;134.0;134.0;133;3.491119714;3.409994857;3.5642233510000003;17.82607;18.588279999999997;18.8329;3.969879817;3.484550688;3.6709891389999996;3.73;3.004687763;3.05463423;2.8911365460000003;2.6;3.4861565310000002;3.2869398810000003;3.686588158;3.73;17;2.999066605;3.021233231
3.4;3.6;3.7;134.0;133.0;130;3.409994857;3.5642233510000003;3.336373555;18.588279999999997;18.8329;18.77822;3.484550688;3.6709891389999996;3.975352832;3.35;3.05463423;2.8911365460000003;2.350242432;2.3;3.2869398810000003;3.686588158;3.798387003;3.35;17;4.007749908;2.689233261
3.6;3.7;3.8;133.0;130.0;128;3.5642233510000003;3.336373555;2.5567173619999997;18.8329;18.77822;18.175929999999997;3.6709891389999996;3.975352832;3.898772838;3.14;2.8911365460000003;2.350242432;1.77866776;2.3;3.686588158;3.798387003;3.533846115;3.14;17;3.021233231;4.152499756
3.7;3.8;4.4;130.0;128.0;112;3.336373555;2.5567173619999997;2.3229920330000002;18.77822;18.175929999999997;16.54385;3.975352832;3.898772838;4.926108018;3.32;2.350242432;1.77866776;2.52286938;2.3;3.798387003;3.533846115;5.444806082;3.32;17;2.689233261;8.440299408
3.8;4.4;5.1;128.0;112.0;120;2.5567173619999997;2.3229920330000002;3.2282818030000002;18.175929999999997;16.54385;14.600729999999999;3.898772838;4.926108018;5.720899606000001;3.74;1.77866776;2.52286938;2.8698242639999996;2.6;3.533846115;5.444806082;6.343786328999999;3.74;17;4.152499756;14.04826605
4.4;5.1;5.7;112.0;120.0;127;2.3229920330000002;3.2282818030000002;3.6062801139999996;16.54385;14.600729999999999;13.74966;4.926108018;5.720899606000001;7.885403776;4.55;2.52286938;2.8698242639999996;3.0343531660000003;2.2;5.444806082;6.343786328999999;7.864435806;4.55;17;8.440299408;14.29596625
5.1;5.7;6.4;120.0;127.0;135;3.2282818030000002;3.6062801139999996;3.7465714610000003;14.600729999999999;13.74966;13.14395;5.720899606000001;7.885403776;8.355713729;4.93;2.8698242639999996;3.0343531660000003;2.805116458;2.1;6.343786328999999;7.864435806;8.333183803999999;4.93;17;14.04826605;15.26434918
5.7;6.4;6.4;127.0;135.0;136;3.6062801139999996;3.7465714610000003;4.040626163;13.74966;13.14395;12.70547;7.885403776;8.355713729;9.292397693;5.93;3.0343531660000003;2.805116458;2.690730387;2.5;7.864435806;8.333183803999999;8.389653081;5.93;17;14.29596625;14.98608258
6.4;6.4;6.4;135.0;136.0;136;3.7465714610000003;4.040626163;4.394193604;13.14395;12.70547;12.43984;8.355713729;9.292397693;9.445645373;5.73;2.805116458;2.690730387;2.682011922;2.7;8.333183803999999;8.389653081;8.44887338;5.73;17;15.26434918;17.02428229
6.4;6.4;6.4;136.0;136.0;137;4.040626163;4.394193604;4.661029575;12.70547;12.43984;12.35317;9.292397693;9.445645373;8.580390386;6.32;2.690730387;2.682011922;2.8192100110000005;1.8;8.389653081;8.44887338;9.06987612;6.32;17;14.98608258;15.38156555
6.4;6.4;6.6;136.0;137.0;136;4.394193604;4.661029575;4.631051835;12.43984;12.35317;11.99624;9.445645373;8.580390386;9.365101106000001;5.72;2.682011922;2.8192100110000005;2.7090705;2.6;8.44887338;9.06987612;9.462246465;5.72;17;17.02428229;11.67889972
6.4;6.6;6.7;137.0;136.0;134;4.661029575;4.631051835;4.343634141;12.35317;11.99624;11.42666;8.580390386;9.365101106000001;9.776756442;5.73;2.8192100110000005;2.7090705;2.513134919;2.0;9.06987612;9.462246465;9.552014135;5.73;17;15.38156555;12.7946496
6.6;6.7;6.9;136.0;134.0;133;4.631051835;4.343634141;4.628598412;11.99624;11.42666;10.96133;9.365101106000001;9.776756442;10.78865299;5.89;2.7090705;2.513134919;3.362358198;2.8;9.462246465;9.552014135;10.03982147;5.89;17;11.67889972;14.6878161
6.7;6.9;7.2;134.0;133.0;133;4.343634141;4.628598412;4.959778776;11.42666;10.96133;10.78945;9.776756442;10.78865299;11.37919632;6.34;2.513134919;3.362358198;3.8159931119999997;3.9;9.552014135;10.03982147;10.64621439;6.34;17;12.7946496;19.7493324
